,0,1,class
CC(=O)c1ccccc1,2.4965599,-2.4884014,0
CC(=O)c1ccc(C#N)cc1,1.785539,-2.2396963,0
COc1ccc(C(C)=O)cc1,1.2564632,-2.8843772,0
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1,3.8169162,-1.3398492,1
CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,2.3951006,-3.2296224,0
COc1ccc(C(=O)c2ccc(OC)cc2)cc1,1.423355,-3.177817,0
O=C(c1ccccc1)c1ccc(F)cc1,3.1632895,-3.4082735,0
O=C(c1ccccc1)c1ccc(C(F)(F)F)cc1,3.38593,-3.6336606,0
O=c1c(-c2ccccc2)c(-c2ccccc2)oc2ccccc12,5.1337543,-1.0744598,1
O=c1cc(-c2ccccc2)oc2ccccc12,4.9327025,-0.9464969,1
c1ccc2c(c1)ccc1c3ccccc3ccc21,4.2600555,-2.3727098,1
CC1=CC(=S)CC(C)(C)C1,-0.059548512,-1.4583415,2
CC1=CC(=S)CC(C)(C)C1,-0.059563257,-1.4582324,2
c1ccc2c(c1)-c1cccc3cccc-2c13,3.1685448,-1.5331295,1
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,6.612839,2.9611495,3
O=C([O-])c1ccccc1-c1c2ccc(=O)c(Br)c-2oc2c(Br)c([O-])ccc12,6.780973,4.6806335,3
O=C([O-])c1ccccc1-c1c2cc([N+](=O)[O-])c(=O)c(Br)c-2oc2c(Br)c([O-])c([N+](=O)[O-])cc12,5.5897803,5.1563735,3
O=C([O-])c1ccccc1-c1c2cc(Cl)c(=O)cc-2oc2cc([O-])c(Cl)cc12,6.536156,3.076823,3
O=C([O-])c1ccccc1-c1c2ccc(=O)c(Cl)c-2oc2c(Cl)c([O-])ccc12,6.789437,4.2980213,3
O=C([O-])c1ccccc1-c1c2ccc(=O)c(I)c-2oc2c(I)c([O-])ccc12,7.0744476,4.494724,3
O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)ccc12,4.842186,6.190333,3
O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)ccc12,4.841733,6.1947885,3
