,quantum_yield
0,0.4
1,0.35
2,0.52
3,0.49
4,0.76
5,0.27
6,0.42
7,0.4
8,0.41
9,0.16
10,0.34
11,0.4
12,0.43
13,0.44
14,0.42
15,0.54
16,0.4
17,0.6
18,0.3
19,0.9
20,0.6
21,0.5
22,0.03
23,0.29
24,0.37
25,0.04
26,0.04
27,0.33
28,0.26
29,0.3
30,0.36
31,0.32
32,0.36
33,0.32
34,0.32
35,0.28
36,0.4
37,0.05
38,0.86
39,0.82
40,0.94
41,0.82
42,0.9
43,0.79
44,0.8
45,0.7
46,0.91
47,0.8
48,0.54
49,0.69
50,0.32
51,0.5
52,0.7
53,1.0
54,0.8
55,1.0
56,0.3
57,1.0
58,1.1
59,0.98
60,0.87
61,0.25
62,1.0
63,0.8
64,1.0
65,0.25
66,0.3
67,0.13
68,0.44
69,0.41
70,0.87
71,0.76
72,0.024
73,0.17
74,0.021
75,0.007
76,0.082
77,0.005
78,0.034
79,0.5
80,0.036
81,0.014
82,0.017
83,0.012
84,0.012
85,0.006
86,0.017
87,0.015
88,0.013
89,0.015
90,0.014
91,0.02
92,0.015
93,0.004
94,0.012
95,0.017
96,0.02
97,0.024
98,0.025
99,0.015
100,0.008
101,0.011
102,0.005
103,0.007
104,0.004
105,0.05
106,0.0006
107,0.0004
108,0.004
109,0.001
110,0.013
111,0.09
112,0.006
113,0.07
114,0.12
115,0.007
116,0.07
117,0.69
118,0.44
119,0.001
120,0.016
121,0.004
122,0.007
123,0.8
124,0.491
125,0.536
126,0.62
127,0.59
128,0.024
129,0.17
130,0.021
131,0.082
132,0.5
133,0.007
134,0.005
135,0.034
136,0.036
137,0.005
138,0.008
139,0.65
140,0.025
141,0.005
142,0.68
143,0.71
144,0.77
145,0.65
146,0.068
147,0.05
148,0.5
149,0.95
150,0.72
151,0.026
152,0.178
153,0.462
154,0.68
155,0.25
156,0.023
157,0.125
158,0.114
159,0.291
160,0.357
161,0.392
162,0.068
163,0.004
164,0.033
165,0.011
166,0.165
167,0.232
168,0.46
169,0.471
170,0.274
171,0.872
172,0.047
173,0.104
174,0.442
175,0.382
176,0.111
177,0.131
178,0.081
179,0.116
180,0.106
181,0.19
182,0.317
183,0.07
184,0.046
185,0.011
186,0.75
187,0.02
188,0.25
189,0.01
190,0.34
191,0.01
192,0.04
193,0.01
194,0.01
195,0.01
196,0.13
197,0.01
198,0.11
199,0.39
200,0.47
201,0.07
202,0.74
203,0.27
204,0.51
205,0.39
206,0.53
207,0.48
208,0.26
209,0.76
210,0.4
211,0.32
212,0.31
213,0.27
214,0.02
215,0.1
216,0.63
217,0.88
218,0.02
219,0.42
220,0.83
221,0.82
222,0.45
223,0.011
224,0.21
225,0.12
226,0.12
227,0.43
228,0.12
229,0.13
230,0.05
231,0.18
232,0.11
233,0.17
234,0.029
235,0.03
236,0.55
237,0.55
238,0.55
239,0.6
240,0.6
241,0.6
242,0.7
243,0.12
